policy_id,generation,source,parent_ids,status,rough_val_accuracy,full_val_accuracy,full_test_accuracy
seed_00_standard,0,baseline_seed:standard,,rough_evaluated,0.285,,
seed_01_standard_color,0,baseline_seed:standard_color,,rough_evaluated,0.306,,
seed_02_standard_erasing,0,baseline_seed:standard_erasing,,rough_evaluated,0.314,,
seed_03_standard_mixup,0,baseline_seed:standard_mixup,,full_evaluated,0.358,0.496,0.4665
seed_04_standard_cutmix,0,baseline_seed:standard_cutmix,,full_evaluated,0.285,0.466,0.435
seed_05_conservative,0,baseline_seed:conservative,,rough_evaluated,0.296,,
gen01_cross_000,1,openai_ranked_crossover,seed_01_standard_color;seed_02_standard_erasing;seed_03_standard_mixup,rough_evaluated,0.353,,
gen01_mut_001,1,openai_ranked_mutation,seed_01_standard_color;seed_02_standard_erasing;seed_03_standard_mixup,rough_evaluated,0.277,,
gen01_mut_002,1,openai_ranked_mutation,seed_01_standard_color;seed_02_standard_erasing;seed_03_standard_mixup,rough_evaluated,0.252,,
gen01_cross_003_try2,1,openai_ranked_crossover,seed_01_standard_color;seed_02_standard_erasing;seed_03_standard_mixup,rough_evaluated,0.322,,
gen01_mut_004,1,openai_ranked_mutation,seed_01_standard_color;seed_02_standard_erasing;seed_03_standard_mixup,rough_evaluated,0.316,,
gen01_mut_005,1,openai_ranked_mutation,seed_01_standard_color;seed_02_standard_erasing;seed_03_standard_mixup,rough_evaluated,0.268,,
gen02_cross_000,2,openai_ranked_crossover,gen01_cross_003_try2;gen01_cross_000;seed_03_standard_mixup,rough_evaluated,0.296,,
gen02_mut_001,2,openai_ranked_mutation,gen01_cross_003_try2;gen01_cross_000;seed_03_standard_mixup,full_evaluated,0.365,0.488,0.467
gen02_mut_002,2,openai_ranked_mutation,gen01_cross_003_try2;gen01_cross_000;seed_03_standard_mixup,rough_evaluated,0.3,,
gen02_cross_003_try1,2,openai_ranked_crossover,gen01_cross_003_try2;gen01_cross_000;seed_03_standard_mixup,rough_evaluated,0.348,,
gen02_mut_004_try2,2,openai_ranked_mutation,gen01_cross_003_try2;gen01_cross_000;seed_03_standard_mixup,rough_evaluated,0.295,,
gen02_mut_005,2,openai_ranked_mutation,gen01_cross_003_try2;gen01_cross_000;seed_03_standard_mixup,full_evaluated,0.361,0.502,0.4845
