policy_id,generation,source,parent_ids,status,rough_val_accuracy,full_val_accuracy,full_test_accuracy
seed_00_none,0,baseline_seed:none,,full_evaluated,0.553,0.719,0.7225
seed_01_standard,0,baseline_seed:standard,,rough_evaluated,0.544,,
seed_02_standard_color,0,baseline_seed:standard_color,,full_evaluated,0.588,0.709,0.7055
seed_03_standard_erasing,0,baseline_seed:standard_erasing,,full_evaluated,0.608,0.715,0.694
seed_04_standard_mixup,0,baseline_seed:standard_mixup,,full_evaluated,0.566,0.723,0.72
seed_05_standard_cutmix,0,baseline_seed:standard_cutmix,,full_evaluated,0.536,0.697,0.6905
seed_06_conservative,0,baseline_seed:conservative,,rough_evaluated,0.572,,
openai_init_000,0,openai_initial,,rough_evaluated,0.509,,
gen01_cross_000,1,openai_ranked_crossover,seed_06_conservative;seed_02_standard_color;seed_03_standard_erasing,rough_evaluated,0.575,,
gen01_mut_001,1,openai_ranked_mutation,seed_06_conservative;seed_02_standard_color;seed_03_standard_erasing,rough_evaluated,0.56,,
gen01_mut_002,1,openai_ranked_mutation,seed_06_conservative;seed_02_standard_color;seed_03_standard_erasing,full_evaluated,0.597,0.726,0.7245
gen01_cross_003,1,openai_ranked_crossover,seed_06_conservative;seed_02_standard_color;seed_03_standard_erasing,rough_evaluated,0.544,,
gen01_mut_004,1,openai_ranked_mutation,seed_06_conservative;seed_02_standard_color;seed_03_standard_erasing,rough_evaluated,0.55,,
gen01_mut_005,1,openai_ranked_mutation,seed_06_conservative;seed_02_standard_color;seed_03_standard_erasing,rough_evaluated,0.54,,
gen02_cross_000,2,openai_ranked_crossover,seed_02_standard_color;gen01_mut_002;seed_03_standard_erasing,rough_evaluated,0.496,,
gen02_mut_001,2,openai_ranked_mutation,seed_02_standard_color;gen01_mut_002;seed_03_standard_erasing,rough_evaluated,0.476,,
gen02_mut_002,2,openai_ranked_mutation,seed_02_standard_color;gen01_mut_002;seed_03_standard_erasing,rough_evaluated,0.481,,
gen02_cross_003,2,openai_ranked_crossover,seed_02_standard_color;gen01_mut_002;seed_03_standard_erasing,rough_evaluated,0.508,,
gen02_mut_004,2,openai_ranked_mutation,seed_02_standard_color;gen01_mut_002;seed_03_standard_erasing,rough_evaluated,0.493,,
gen02_mut_005_try1,2,openai_ranked_mutation,seed_02_standard_color;gen01_mut_002;seed_03_standard_erasing,rough_evaluated,0.582,,
