method,stage,policy_id,source,seed,generation,valid,is_final_comparison,train_size,val_size,test_size,epochs,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,runtime_sec,device
none,baseline,,,37,,True,True,200,200,500,,0.165,0.0773686186186186,0.116,0.054034694744097,1.6694719791412354,mps
standard,baseline,,,37,,True,True,200,200,500,,0.195,0.1218405797101449,0.164,0.0974830726866005,0.5155019760131836,mps
standard_color,baseline,,,37,,True,True,200,200,500,,0.155,0.0891360166551006,0.138,0.0734867461971164,0.6521410942077637,mps
standard_erasing,baseline,,,37,,True,True,200,200,500,,0.145,0.0680097492798827,0.146,0.0785380643650261,0.5349030494689941,mps
standard_mixup,baseline,,,37,,True,True,200,200,500,,0.23,0.1718104444575033,0.234,0.1738076631841134,0.5685181617736816,mps
standard_cutmix,baseline,,,37,,True,True,200,200,500,,0.2,0.1295560600853303,0.188,0.114874089212242,0.5355420112609863,mps
randaugment,baseline,,,37,,True,True,200,200,500,,0.145,0.0494619027120103,0.154,0.0514409675388903,0.5876879692077637,mps
trivialaugment,baseline,,,37,,True,True,200,200,500,,0.195,0.1113389997536339,0.166,0.0940958163864607,0.5448968410491943,mps
ranked_llm_evolution,evolution_rough,seed_00_standard,baseline_seed:standard,,0,True,False,,,,,0.135,0.0507067226051343,,,0.8050570487976074,
ranked_llm_evolution,evolution_rough,seed_01_standard_color,baseline_seed:standard_color,,0,True,False,,,,,0.065,0.0242587395853727,,,0.2573518753051758,
ranked_llm_evolution,evolution_rough,seed_02_standard_erasing,baseline_seed:standard_erasing,,0,True,False,,,,,0.095,0.0176744186046511,,,0.2356810569763183,
ranked_llm_evolution,evolution_rough,seed_03_standard_mixup,baseline_seed:standard_mixup,,0,True,False,,,,,0.175,0.0786353626174553,,,0.820641040802002,
ranked_llm_evolution,evolution_full,seed_03_standard_mixup,baseline_seed:standard_mixup,,0,True,True,,,,,0.205,,0.184,0.1261151140819238,0.820641040802002,
ranked_llm_evolution,evolution_rough,seed_04_standard_cutmix,baseline_seed:standard_cutmix,,0,True,False,,,,,0.15,0.0726907150820194,,,0.7234656810760498,
ranked_llm_evolution,evolution_full,seed_04_standard_cutmix,baseline_seed:standard_cutmix,,0,True,True,,,,,0.21,,0.21,0.1303166195422545,0.7234656810760498,
ranked_llm_evolution,evolution_rough,seed_05_conservative,baseline_seed:conservative,,0,True,False,,,,,0.175,0.1147547547547547,,,0.2237160205841064,
ranked_llm_evolution,evolution_rough,openai_init_000,openai_initial,,0,True,False,,,,,0.205,0.1054534922211188,,,0.2431271076202392,
ranked_llm_evolution,evolution_rough,openai_init_001,openai_initial,,0,True,False,,,,,0.205,0.1134427907709268,,,0.7635889053344727,
ranked_llm_evolution,evolution_full,openai_init_001,openai_initial,,0,True,True,,,,,0.22,,0.196,0.1050294054604399,0.7635889053344727,
ranked_llm_evolution,evolution_rough,gen01_cross_000,openai_ranked_crossover,,1,True,False,,,,,0.21,0.1200233491072042,,,0.7843170166015625,
ranked_llm_evolution,evolution_full,gen01_cross_000,openai_ranked_crossover,,1,True,True,,,,,0.2,,0.178,0.1222206373815765,0.7843170166015625,
ranked_llm_evolution,evolution_rough,gen01_mut_001,openai_ranked_mutation,,1,True,False,,,,,0.185,0.0959894480235066,,,0.2382168769836425,
ranked_llm_evolution,evolution_rough,gen01_mut_002,openai_ranked_mutation,,1,True,False,,,,,0.19,0.1113671452833101,,,0.2245497703552246,
ranked_llm_evolution,evolution_rough,gen01_cross_003,openai_ranked_crossover,,1,True,False,,,,,0.2,0.1080177187153931,,,0.2328202724456787,
ranked_llm_evolution,evolution_rough,gen01_mut_004,openai_ranked_mutation,,1,True,False,,,,,0.18,0.0940875782860699,,,0.2250537872314453,
ranked_llm_evolution,evolution_rough,gen01_mut_005,openai_ranked_mutation,,1,True,False,,,,,0.185,0.1120837322924437,,,0.242948293685913,
ranked_llm_evolution,evolution_rough,gen02_cross_000,openai_ranked_crossover,,2,True,False,,,,,0.1,0.0185185185185185,,,0.2571961879730224,
ranked_llm_evolution,evolution_rough,gen02_mut_001,openai_ranked_mutation,,2,True,False,,,,,0.135,0.0695126945126945,,,0.2218761444091797,
ranked_llm_evolution,evolution_rough,gen02_mut_002,openai_ranked_mutation,,2,True,False,,,,,0.185,0.1189597769812823,,,0.2332468032836914,
ranked_llm_evolution,evolution_rough,gen02_cross_003,openai_ranked_crossover,,2,True,False,,,,,0.18,0.1186783213296853,,,0.2403171062469482,
ranked_llm_evolution,evolution_rough,gen02_mut_004,openai_ranked_mutation,,2,True,False,,,,,0.225,0.1645393775529093,,,0.7940638065338135,
ranked_llm_evolution,evolution_full,gen02_mut_004,openai_ranked_mutation,,2,True,True,,,,,0.195,,0.192,0.0954077866875039,0.7940638065338135,
ranked_llm_evolution,evolution_rough,gen02_mut_005_try2,openai_ranked_mutation,,2,True,False,,,,,0.17,0.0851234282349972,,,0.2196657657623291,
