policy_id,generation,source,parent_ids,status,rough_val_accuracy,full_val_accuracy,full_test_accuracy
seed_00_standard,0,baseline_seed:standard,,rough_evaluated,0.135,,
seed_01_standard_color,0,baseline_seed:standard_color,,rough_evaluated,0.065,,
seed_02_standard_erasing,0,baseline_seed:standard_erasing,,rough_evaluated,0.095,,
seed_03_standard_mixup,0,baseline_seed:standard_mixup,,full_evaluated,0.175,0.205,0.184
seed_04_standard_cutmix,0,baseline_seed:standard_cutmix,,full_evaluated,0.15,0.21,0.21
seed_05_conservative,0,baseline_seed:conservative,,rough_evaluated,0.175,,
openai_init_000,0,openai_initial,,rough_evaluated,0.205,,
openai_init_001,0,openai_initial,,full_evaluated,0.205,0.22,0.196
gen01_cross_000,1,openai_ranked_crossover,seed_05_conservative;openai_init_000;openai_init_001,full_evaluated,0.21,0.2,0.178
gen01_mut_001,1,openai_ranked_mutation,seed_05_conservative;openai_init_000;openai_init_001,rough_evaluated,0.185,,
gen01_mut_002,1,openai_ranked_mutation,seed_05_conservative;openai_init_000;openai_init_001,rough_evaluated,0.19,,
gen01_cross_003,1,openai_ranked_crossover,seed_05_conservative;openai_init_000;openai_init_001,rough_evaluated,0.2,,
gen01_mut_004,1,openai_ranked_mutation,seed_05_conservative;openai_init_000;openai_init_001,rough_evaluated,0.18,,
gen01_mut_005,1,openai_ranked_mutation,seed_05_conservative;openai_init_000;openai_init_001,rough_evaluated,0.185,,
gen02_cross_000,2,openai_ranked_crossover,openai_init_000;openai_init_001;gen01_cross_000,rough_evaluated,0.1,,
gen02_mut_001,2,openai_ranked_mutation,openai_init_000;openai_init_001;gen01_cross_000,rough_evaluated,0.135,,
gen02_mut_002,2,openai_ranked_mutation,openai_init_000;openai_init_001;gen01_cross_000,rough_evaluated,0.185,,
gen02_cross_003,2,openai_ranked_crossover,openai_init_000;openai_init_001;gen01_cross_000,rough_evaluated,0.18,,
gen02_mut_004,2,openai_ranked_mutation,openai_init_000;openai_init_001;gen01_cross_000,full_evaluated,0.225,0.195,0.192
gen02_mut_005_try2,2,openai_ranked_mutation,openai_init_000;openai_init_001;gen01_cross_000,rough_evaluated,0.17,,
